"ALPHA3CODE","NAME_A","NAME_C","NAME_E","NAME_F","NAME_R","NAME_S","AUTHOR"
"HMW","تين الهِند بحرِيَّة","标准仙掌藻","Sea cactus","Monnaie de Poseido","","Tuna de mar","(Ellis & Solander) Lamouroux 1824"
"LQD","","","Tangle","Laminaire digitée","","","(Hudson) Lamouroux 1813"
"LQX","","","Sea belt","Laminaire sacchari","","","(Linnaeus) J.V. Lamouroux 1813"
"FUU","","","Toothed wrack","","","","Linnaeus 1753"
"HLZ","","","Sea thong","","","","(Linnaeus) S.F. Gray 1821"
"AJC","","","Babberlocks","Alimentaire varech","","","(Linnaeus) Greville 1830"
"MDE","","","","","","","Herre 1924"
"MNW","","","","","","","Herre 1943"
"RMA","","","","","","","(Krefft 1868)"
"YNV","","","Green weakfish","Acoupa cambucu","","Corvinata cambucú","(Cuvier 1830)"
"YNX","","","Orangemouth weakfi","","","","Jordan & Gilbert 1882"
"CUY","","","Ansorge fangtooth ","","","","(Boulenger 1910)"
"CUM","","","Nigerian fangtooth","","","","Regan 1917"
"CFR","","","Oblique-lined dott","","","","(De Vis 1884)"
"CXD","","","","","","","(Kner 1858)"
"BMQ","","","Duckbill flathead","","","","Ginsburg 1955"
"BEE","","","","","","","(Norman 1937)"
"TNB","","","Blind torpedo","","","","Bean & Weed 1909"
"BMI","","","","","","","(Poll 1948)"
"OBR","","","","","","","(Goode & Bean 1886)"
"BDL","سمك-حُسام طويل","长体深海带鱼","Elongate frostfish","Poisson-sabre long","","Cintilla elongada","(Clarke 1879)"
"BDF","سمك-حُسام كبير العينين","大眼深海带鱼","Bigeye frostfish","Poisson-sabre gros","","Cintilla ojigrande","Parin & Becker 1970"
"BFB","","","","","","","Beling & Iljin 1927"
"BFR","","","","","","","Kessler 1877"
"BHG","سمك قانوس جَليدديّ","冰底灯鱼","Glacier lantern fi","Lanterne glaciaire","","Linterna oscura","(Reinhardt 1837)"
"BNS","","","Smallfin lanternfi","","","","(Gilbert 1913)"
"BGP","","","","","","","(Steindachner 1908)"
"BEZ","","","","","","","Snyder 1911"
"BXB","","","Top minnow","","","","Kner 1860"
"BED","","","","","","","Pietsch 1973"
"BXD","","","Alfonsino","Béryx commun","","Alfonsino palomet ","Cuvier 1829"
"BDS","","","Siamese fighting f","","","","Regan 1910"
"BHT","","","","","","","(Duméril 1870)"
"BHS","","","","","","","(Jerdon 1849)"
"BDC","","","Freetail brotula","","","","Barnard 1934"
"BBX","","","Two-faced toadfish","","","","Greenfield, Mee & Randall 1994"
"BWI","","","Spiny-tailed leath","","","","(Richardson 1846)"
"BIU","","","","","","","Kottelat & Lim 1994"
"BIN","","","","","","","(Soldatov 1922)"
"BEF","","","","","","","(Ogilby 1889)"
"BYJ","","","Flathead skate","","","","(Gill & Townsend 1897)"
"BYU","","","Longnose deep-sea ","","","","Dolganov 1985"
"BYK","","","","","","","Ishiyama 1967"
"BYX","","","","","","","(Soldatov & Pavlenko 1915)"
"BYZ","","","","","","","(Müller & Henle 1841)"
"BJS","","","Spiny skate","","","","(Beebe & Tee-Van 1941)"
"BJT","","","","","","","(Ishiyama 1958)"
"BJR","","","Roughtail skate","","","","(Gilbert 1892)"
"BJZ","","","","","","","Dolganov 1985"
"BJV","","","Okhotsk skate","","","","(Suvorov 1935)"
"BSG","","","","","","","(Kamohara 1952)"
"BHF","","","Deep-sea lizardfis","","","","Günther 1878"
"YOL","","","","","","","Roule 1916"
"BFX","","","","","","","Parr 1933"
"TFN","","","","","","","Boulenger 1900"
"TPH","","","","","","","(Stephanidis 1971)"
"RTJ","","","","","","","Martens 1864"
"RTK","","","","","","","(Günther 1880)"
"RTU","","","Western shovelnose","","","","(Whitley 1939)"
"RTO","","","Striped stingaree","","","","Last & Gomon 1987"
"GGX","","","Mauve goby","","","","Gilbert 1971"
"PBS","","","Tubenose poacher","","","","(Steindachner 1876)"
"GPI","","","Meteor goby","","","","(Klausewitz & Zander 1967)"
"PFU","","","","","","","Costa 1991"
"OTB","","","Bronze croaker","","","","(Cantor 1849)"
"OTD","","","Pama croaker","","","","(Hamilton 1822)"
"OFG","","","","","","","(Regan 1922)"
"OOC","","","","","","","Böhlke & Robins 1959"
"OWG","","","","","","","(Fowler 1934)"
"OUD","","","","","","","Eydoux & Souleyet 1850"
"OXE","","","Speckled maori wra","","","","(Valenciennes 1840)"
"OXU","","","Longnose hawkfish","","","","Bleeker 1857"
"MOT","","","Shorttail pike con","","","","(Bleeker 1858)"
"OXK","","","","","","","Bleeker 1862"
"XYF","","","Fimbriate gudgeon","","","","(Weber 1907)"
"OXA","","","","","","","Van Hasselt 1823"
"OJC","","","Señorita","","","","(Günther 1861)"
"OXO","","","","","","","Kiener & Maugé 1966"
"OXI","","","Painted greenling","","","","Gill 1862"
"OYY","","","","","","","Chan 1966"
"XYH","","","Red Sea longnose f","","","","Marshall 1952"
"OXB","قِرش فظّ صنَّارة","澳洲尖背角鲨","Prickly dogfish","Centrine aiguille","","Cerdo marino aguje","(Ogilby 1893)"
"OXC","قِرش فظّ كاريبان","加勒比尖背角鲨","Caribbean roughsha","Centrine antillais","","Tiburón ojinoto","Cervigón 1961"
"OXV","","","Halfbeak","","","","(Weber & de Beaufort 1922)"
"OUF","","","","","","","Nichols 1958"
"XYD","","","White-eye","","","","(Günther 1866)"
"PHB","","","","","","","(Pappenheim 1912)"
"PHM","","","","","","","(Steindachner 1892)"
"YTG","","","Bronze seabream","","","","Günther 1859"
"PXO","","","","","","","(Duméril 1861)"
"YPD","","","Brazilian croaker","","","","(Steindachner 1879)"
"YPF","","","Guyanan croaker","","","","(Lacépède 1802)"
"YPT","","","","","","","(Müller & Troschel 1848)"
"OHK","","","","","","","(Lowe 1953)"
"OIS","","","","","","","(Poll 1948)"
"OIW","","","","","","","(Sauvage 1884)"
"OIH","","","","","","","Boulenger 1897"
"OIQ","","","","","","","(Günther 1864)"
"OIT","","","","","","","(Günther 1894)"
"OIP","","","","","","","(Thys van den Audenaerde 1964)"
"OEV","","","","","","","(Boulenger 1906)"
"OGD","","","","","","","(Pellegrin 1936)"
"OUH","","","","","","","(Pietschmann 1933)"
"ONO","","","","","","","Zheng 1981"
"OOT","","","Ox-eyed oreo","","","","Cuvier 1829"
"OUG","","","","","","","Vila & Pinto 1987"
"OCG","","","","","","","Myers 1927"
"OHM","","","Sacramento blackfi","","","","(Ayres 1854)"
"OTT","","","Snubnose sculpin","","","","Starks & Mann 1911"
"OTR","","","Corocoro grunt","","","","(Cuvier 1830)"
"OSN","","","","","","","(Boulenger 1898)"
"YLU","سرطان البحر بابوج مُنهك","鳞突拟蝉虾","Blunt slipper lobs","Cigale grenue","","Cigarro ñato","(H. Milne Edwards 1837)"
"RGT","","","Tentacled butterfl","","","","(Müller & Henle 1841)"
"RGZ","","","Zonetail butterfly","","","","(Bleeker 1852)"
"KII","كوديوم بَدْغَة","刺松藻","Fragile codium","Codium orvet","","Codio fragil","(Suringar) Hariot 1889"
"KIB","","","","","","","Areschoug 1854"
"KIE","","","","","","","P.L. Crouan & H.M. Crouan ex Vickers 1905"
"KIQ","","","","","","","Harvey 1854"
"KJT","","","","","","","Stackhouse 1797"
"EFP","فَور الحجر أَخضر مُسَطَّح","扁浒苔","Flat green nori","Entéromorphe comp","","Ova chata","(Linnaeus) Nees 1820"
"EBN","فَور الحجر أَخضر مُقَعَّر","肠浒苔","Hollow green nori","Entéromorphe creu","","Pelo de piedra ver","(Linnaeus) Nees 1820"
"EBL","","","","","","","J. Agardh 1883"
"EBZ","فَور الحجر أخضر خُصّ","缘管浒苔","Welded green nori","Entéromorphe lait","","Ova lechuga","(Linnaeus) J. Agardh 1883"
"UVC","","","","","","","Kjellman 1897"
"UVF","","","","","","","Delile 1813"
"UVU","خُصّ البحر","石莼","Sea lettuce","Laitue de mer","","Lechuga de mar","Linnaeus 1753"
"UVR","","","","","","","Forsskål 1775"
"KQP","كوايربا مُخلِفَة","蕨藻","Leafy caulerpa","Caulerpe prolifèr","","Caulerpa prolifera","(Forsskål) Lamouroux 1809"
"MXF","","","","","","Huiro canutillo","Bory 1826"
"IPD","شريط الماء زيتون","波状网翼藻","Olive forked ribbo","Rubanier olive","","Abanico olivo","Holmes 1896"
"EEZ","ابن مِقرض شِجاري","树状羽叶藻","Arboreal ferret","Furet arboricole","","Listonsillo","Areschoug 1876"
"YDL","","","","","","","(C. Agardh) Howe 1920"
"GQK","","","Common Pacific sar","","","","J. Agardh 1848"
"GQJ","","","Double-bladed sarg","","","","C. Agardh 1820"
"GQY","","","Flat-stemmed sarga","","","","Montagne 1845"
"GQU","","","Serrate sargassum","","","","J. Agardh 1848"
"GQL","","","Rough-stemmed sarg","","","","C. Agardh 1824"
"UIC","","","Sea bell","","","","(J. Agardh) Kuetzing 1860"
"UIU","","","Triangular sea bel","","","","Bory de Saint Vincent 1828"
"ULL","","","","","","","(Nordstedt) Geitler"
"ULX","","","","","","","Geitler"
"HQW","","","Unicell. Chlorella","","","","Beijerinck 1890"
"HLW","","","","","","","Chick"
"UNI","","","","","Дуналиелла салина","","(Dunal) Teodoresco 1905"
"UNJ","","","","","","","Butcher"
"NHO","","","","","","",""
"NZK","","","","","","","W. Smith"
"BFY","","","","","","",""
"KHX","","","Chitons nei","Chitons nca","","Quitones nep",""
"NHQ","","","","","","","Balushkin 1990"
"HAH","قِرش قِطّ جميل","印度梅花鲨","Bristly catshark","Holbiche mignonne","","Pejegato erizado","(Alcock 1891)"
"RGI","","","Smooth butterfly r","","","","(Bloch & Schneider 1801)"
"RGP","","","Long-tailed butter","","","","(Shaw 1804)"
"OMQ","","","Barreleye","","","","Chapman 1939"
"MLI","","","","","","","(Boulenger 1906)"
"MRH","","","Roundtail paradise","","","","(Bloch 1790)"
"MFG","","","Slender snipefish","","","","(Lowe 1839)"
"MFP","","","Trumpetsnout spike","","","","Fowler 1934"
"MNJ","","","","","","","(Hamilton 1822)"
"MRI","","","","","","","Smith & Radcliffe 1912"
"MCC","","","Ridge scaled ratta","","","","(Günther 1878)"
"MCH","رُمّانية كبيرة العينين","大眼长尾鳕","Bigeye grenadier","Grenadier à gros ","Макрурус южноатлантический","Granadero ojisapo","Günther 1878"
"WGR","","","Whitson's grenadie","","Макрурус Уитсона","","(Regan 1913)"
"MNL","","","Duckbill barracudi","","","","(Krøyer 1868)"
"CDI","","","Cory's shearwater","Puffin cendré","","Pardela cenicienta","(Scopoli 1769)"
"PYP","","","Gentoo penguin","Manchot papou","","Pingüino guanito","J. R. Forster 1781"
"GMV","","","Janbruin","","","","Günther 1859"
"GYW","","","","","","","Talwar 1977"
"GDR","","","Ploughfish","","","","Boulenger 1902"
"GMZ","","","Argentine humphead","","","","(Perugia 1891)"
"GMN","","","","","","","Taranetz 1934"
"AMO","","","Zebra moray","","","Morena cebra","(Shaw & Nodder 1797)"
"GYH","","","","","","","Ellis 1912"
"GYB","","","","","","","Andriashev 1962"
"GYR","","","","","","","(Lönnberg 1905)"
"GYF","","","","","","","(Fraser-Brunner 1931)"
"GYO","","","","","","","Fraser-Brunner 1949"
"AMV","","","Speckled moray","","","Morena pintita","(Günther 1870)"
"AMG","","","Yellow-edged moray","","","","(Rüppell 1830)"
"AMI","","","Green moray","","","Morena verde","Ranzani 1840"
"AGD","","","Sharktooth moray","","","","(Johnson 1862)"
"AGT","","","Turkey moray","","","","(Shaw & Nodder 1795)"
"AGX","","","California moray","","","Morena de California","(Ayres 1859)"
"AGG","","","Spotted moray","","","Morena manchada","(Cuvier 1829)"
"AMW","","","Ocellated moray","","","Morena ocelada","Agassiz 1831"
"AGI","","","Polygon moray","","","Morena polígona","Poey 1875"
"AGY","","","","","","","(Guichenot 1848)"
"AGO","","","Highfin moray","","","","(Bleeker 1852)"
"AGU","","","Banded moray","","","","(McClelland 1844)"
"AMZ","","","Undulated moray","","","","(Lacépède 1803)"
"AGK","","","Brown moray","Murène brune","","Morena negra","(Delaroche 1809)"
"AMT","","","Purplemouth moray","","","","(Castelnau 1855)"
"GYC","","","Banded knifefish","Gymnote rayé","","Carapo","Linnaeus 1758"
"GYE","","","Naked characin","","","","Steindachner 1903"
"GMI","","","Trident pricklebac","","","","Gilbert & Burke 1912"
"GWB","","","","","","","(Poll 1976)"
"GUV","","","","","","","(Valenciennes 1837)"
"CGH","","","Indian river shad","","","","(Hamilton 1822)"
"GDF","","","Spotted puffer","","","","(Günther 1870)"
"AGA","","","Jellynose","","","","Osório 1917"
"GUE","","","","","","","Kullander & Nijssen 1989"
"OEO","","","","","","","(Trewavas 1941)"
"OEW","","","","","","","(Lowe 1955)"
"RTP","","","Masked stingaree","","","","Last & Gomon 1987"
"RTF","","","Southern fiddler","","","","Müller & Henle 1841"
"RTG","","","","","","","Whitley 1932"
"RTM","","","Magpie fiddler ray","","","","Scott 1954"
"TKH","","","","","","","Popta 1922"
"TKS","","","","","","","Hardenberg 1931"
"TUT","","","Tasmanian ruffe","","","","Whitley 1943"
"TUA","","","","","","","Kottelat 1990"
"TKP","","","","","","","Herre 1927"
"TDV","","","Fleshy-lipped spik","","","","Weber 1913"
"YLS","","","Spiny blaasop","","","","(Regan 1908)"
"TMI","","","","","","","Stiassny 1989"
"BTS","","","Hound needlefish","Aiguille crocodile","","Marao lisero","(Péron & Lesueur 1821)"
"TMA","","","","","","","Eigenmann & Myers 1928"
"YFA","","","","","","","Hardenberg 1931"
"TDU","","","Threetooth puffer","","","","Lesson 1831"
"TMX","","","Mexican lampfish","","","","(Gilbert 1890)"
"TPM","","","","","","","(McArdle 1901)"
"TYC","","","","","","","(Hora 1934)"
"TPF","","","Black-flag tripodf","","","","(Hollard 1854)"
"TPU","","","","","","","(Spix & Agassiz 1829)"
"TGH","","","Three spot gourami","","Гурами пятнистый","","(Pallas 1770)"
"TGL","","","","","","","Britski & Ortega 1983"
"TCA","","","","","","","(Eigenmann 1917)"
"TFI","","","","","","","(Steindachner 1867)"
"TKK","","","","","","","Clark & von Schmidt 1966"
"TSJ","","","Caribbean flounder","","","","Anderson & Gutherz 1967"
"TKL","","","Pygmy gourami","","","","(Arnold 1936)"
"TSC","","","","","","","(Matthes 1964)"
"TDE","","","","","","","Eigenmann & Eigenmann 1889"
"TDR","","","","","","","(Eigenmann & Eigenmann 1889)"
"TDB","","","","","","","(Günther 1861)"
"TDP","","","","","","","Myers 1925"
"TCM","","","","","","","(Regan 1920)"
"TFF","","","Scissortail sculpi","","","","(Gilbert 1896)"
"TGJ","","","Jordan's sculpin","","","","(Schmidt 1903)"
"TGM","","","Moustache sculpin","","","","Günther 1888"
"TGY","","","Bigeye sculpin","","","","Jensen 1944"
"TGP","","","Spectacled sculpin","","","","Gilbert 1896"
"TGQ","","","Fourhorn sculpin","","","","(Linnaeus 1758)"
"TLE","","","","","","","Regan & Trewavas 1930"
"TVD","","","","","","","(Goren 1978)"
"TMK","","","Okinawa rubble gob","","","","(Aoyagi 1949)"
"TOV","","","Red-barred rubble ","","","","(Schultz 1943)"
"TMT","","","Hogchoker","","","","(Bloch & Schneider 1801)"
"TFC","","","Clarke's triplefin","","","","(Morton 1888)"
"TMW","","","Orange notothen","","","","Lönnberg 1905"
"TDM","","","","","","","(Temminck & Schlegel 1850)"
"NUI","","","Short-nosed tripod","","","","(Bloch 1786)"
"TRB","قرش مَرجان","灰三齿鲨","Whitetip reef shar","Requin corail","","Tiburón coralero ","(Rüppell 1837)"
"RLU","","","Smoothgum sculpin","","","","Bolin 1950"
"PUK","","","","","","","(Boulenger 1910)"
"RIO","","","Flathead perch","","","","McCulloch 1923"
"JRK","","","Ocellate skate","","","","Garman 1881"
"JRA","","","","","","","Ishiyama 1958"
"SMB","","","","","","","(Bleeker 1850)"
"GXM","","","Siamese algae-eate","","","","(Tirant 1883)"
"GYD","","","","","","","Fedorov, Balushkin & Trunov 1987"
"HDI","","","","","","","Schmidt 1904"
"HDL","","","","","","","Federov 1982"
"HMV","","","","","","","Myers 1927"
"HLU","","","White margate","Gorette margate","","Ronco jallao","Cuvier 1830"
"HLL","","","Tomtate grunt","","","","Cuvier 1830"
"HLO","","","Black grunt","","","","Cuvier 1830"
"HLC","","","Caesar grunt","","","","Poey 1860"
"HLF","","","Yellowspotted grun","","","","Gill 1862"
"HLV","","","French grunt","","","","(Desmarest 1823)"
"HLS","","","Spanish grunt","","","","Günther 1859"
"HLD","","","Spottail grunt","","","","(Gill 1862)"
"HLH","","","Cottonwick grunt","","","","(Linnaeus 1758)"
"AGH","","","","","","","(Steindachner 1908)"
"RGL","","","Spiny butterfly ra","Raie-papillon épi","","Raya mariposa","(Linnaeus 1758)"
"RGU","","","Australian butterf","","","","(Ramsay & Ogilby 1886)"
"RGC","","","Longsnout butterfl","","","","(Peters 1869)"
"RGJ","","","Japanese butterfly","","","","(Temminck & Schlegel 1850)"
"RGM","","","California butterf","Raie-papillon cali","","Raya mariposa cali","(Cooper 1864)"
"HLP","","","Sailor's grunt","","","","(Desmarest 1823)"
"HLI","","","White grunt","Gorette blanche","","Ronco margariteño","(Lacépède 1802)"
"HHI","","","Bluestriped grunt","","","","(Shaw 1803)"
"HHD","","","Grey grunt","","","","Gill 1862"
"HHX","","","Greybar grunt","","","","Gill 1862"
"GYT","","","Black tetra","","","","(Boulenger 1895)"
"GME","","","Yellowsnout large-","","","","Bleeker 1873"
"GMR","","","Grey large-eye bre","Empereur gris","","Emperador gris","(Temminck & Schlegel 1843)"
"YAO","","","","","","","Trewavas 1935"
"YAF","","","Featherfin cichlid","","","","(Boulenger 1898)"
"YCL","","","Blue sucker","","","","(Lesueur 1817)"
"CYE","","","Spotbase burrfish","","","","(Leis & Randall 1982)"
"YCA","","","Beardless barb","","Барбус апогон","","(Valenciennes 1842)"
"YCD","","","","","","","Sauvage 1881"
"YCE","","","","","","","(Bleeker 1850)"
"YCW","","","","","","","Poll 1948"
"YLP","","","God's flounder","","","","(Steindachner 1876)"
"YLQ","","","Toothed flounder","","","","(Jordan & Bollman 1890)"
"CJB","","","","","","","Soldatov & Lindberg 1930"
"OTP","","","","","","","(Heckel 1843)"
"OYJ","","","Javanese ricefish","","","","Bleeker 1854"
"OOE","","","","","","","Nelson 1982"
"OUP","","","","","","","Herre 1924"
"OBL","","","","","","","(Valenciennes 1844)"
"OBC","","","","","","","(Hamilton 1822)"
"OSE","","","","","","","(Bleeker 1852)"
"OSS","","","","","","","(Bleeker 1851)"
"OSD","","","Bigtail snailfish","","","","Stein 1978"
"OGM","","","Soldier catfish","","","","(Linnaeus 1758)"
"OOB","","","Arawana","","","","(Cuvier 1829)"
"HOH","","","","","","","Randall, Shimizu & Yamakawa 1982"
"OTJ","","","Yellow boxfish","","","","Linnaeus 1758"
"OXD","","","","","","","Fowler 1934"
"OTE","","","","","","","(Cuvier 1828)"
"OCA","","","Golden otocinclus","","","","Steindachner 1877"
"OEJ","","","","","","","(Lowe 1955)"
"BKY","إيربيان كبير مَلغاشي","马达加斯加沼虾","Madagascar scale p","Bouquet malgache","","Camarón escamoso ","(Herklots 1851)"
"HJN","إيربيان كبير نهر مذاق","美味沼虾","Sweet river prawn","Bouquet saveur","","Camarón saborete","(Thallwitz 1891)"
"HJG","إيربيان كبير نهر لِحية رَمادِية","灰珠沼虾","Greybeard river pr","Bouquet barbe-gris","","Camarón barbagris","Holthuis 1950"
"HHQ","إيربيان كبير نهر شلاّل","急流沼虾","Cascade river praw","Bouquet cascade","","Camarón de cascad","(Wiegemann 1836)"
"HJJ","إيربيان كبير نهر أُورانا","奥兰沼虾","Orana river prawn","Bouquet orana","","Camarón orana","(Heller 1862)"
"EXT","إيربيان كبير شرقي","东方白虾","Oriental prawn","Bouquet oriental","","Camarón oriental","(Holthuis 1950)"
"EXY","إيربيان كبير رُوشَنا","印度白虾","Roshna prawn","Bouquet rosna","","Camarón rosna","(H. Milne Edwards 1840)"
"UPO","إيربيان كبير بُومْبِي","淡水细腕虾","Bombay prawn","Bouquet Bombay","","Camarón de Bombay","(Kemp 1917)"
"HUK","","","Cinnamon river pra","Bouquet cannelle","","Camarón canela","(Wiegemann 1836)"
"HDX","إيربيان كبير نهر كُونْغُولِي","刚果沼虾","Congo river prawn","Bouquet congolais","","Camarón congoleñ","(Lenz 1910)"
"YSK","إيربيان مُخَطَّط","加州鞭腕虾","Lined shrimp","Bouc rayé","","Camarón listado","(Stimpson 1866)"
"YMS","إيربيان مُوناكو","摩纳哥鞭腕虾","Monaco shrimp","Bouc monégasque","","Camarón monagués","(Risso 1816)"
"YDG","","","Blotched upsidedow","","","","David 1936"
"YDR","","","Blackspotted squea","","","","Boulenger 1905"
"YDJ","","","Malawi squeaker","","","","Keilhack 1908"
"YDO","","","Onespot squeaker","","","","Vaillant 1893"
"YDP","","","Congo squeaker","","","","Boulenger 1897"
"YDS","","","Wahrindi","","","","(Bloch & Schneider 1801)"
"YDZ","","","Plain squeaker","","","","Peters 1852"
"SYV","","","Inotted lizardfish","","","","Jordan & Bollman 1890"
"SYL","","","California lizardf","","","","(Ayres 1855)"
"SDR","","","Atlantic lizardfis","","","","(Linnaeus 1758)"
"SYW","","","Variegated lizardf","","","","(Lacépède 1803)"
"OEP","","","","","","","(Boulenger 1899)"
"OET","","","","","","","(Trewavas 1933)"
"OEI","","","","","","","(Trewavas 1941)"
"OCI","","","","","","","Trewavas 1983"
"OHO","","","Kariba tilapia","","","","(Trewavas 1966)"
"OHI","","","","","","","(Lowe 1955)"
"OHU","","","Black tilapia","","","","(Trewavas 1941)"
"OHW","","","","","","","(Hilgendorf & Pappenheim 1903)"
"OPL","","","Lake salmon","","","","(Günther 1864)"
"OPD","","马口鱼","","","","","Günther 1873"
"ODO","","","","","","","(Steindachner 1915)"
"OPQ","","","Pugnose minnow","","","","Hay 1881"
"OVE","","","Slender roughy","","","","(Günther 1859)"
"OUT","","","","","","","(Peters 1855)"
"ORJ","قِرش-بِساط ياباني","日本须鲨","Japanese wobbegong","Requin-tapis moust","","Tapicero japonés","Regan 1906"
"ORT","قِرش-بِساط مُرقَّط","斑纹须鲨","Spotted wobbegong","Requin-tapis tache","","Tapicero manchado","(Bonnaterre 1788)"
"ORO","قِرش بِساط مُزَيَّن","装饰须鲨","Ornate wobbegong","Requin-tapis paste","","Tapicero ornamenta","(De Vis 1883)"
"OGC","","","Oregon chub","","","","(Snyder 1908)"
"OHC","","","","","","","(Hamilton 1822)"
"OEL","","","Magadi tilapia","","","","(Hilgendorf 1905)"
"OEM","","","","","","","(Hilgendorf 1905)"
"OEG","","","","","","","(Trewavas 1973)"
"OEU","","","","","","","(Ahl 1924)"
"OES","","","","","","","(Graham 1928)"
"OEH","","","","","","","Günther 1889"
"OOM","","","","","","","Bleeker 1853"
"OOS","","","Serpent eel","","","","(Linnaeus 1758)"
"LYA","","","","","","","(Tomo, Marschoff & Torno 1977)"
"OHF","","","","","","","(Pappenheim 1912)"
"OFB","","","","","","","(Boulenger 1901)"
"OID","","","","","","","(Steindachner 1881)"
"OPU","رَنكة هُلْب","蒲氏后丝鲱","Slender thread her","Chardin crin","","Machuelo hebra cri","(Regan 1904)"
"OPM","رَنكة  خَيْط وَسَطي","少耙后丝鲱","Middling thread he","Chardin pinchague","","Machuelo hebra med","Berry & Barrett 1963"
"OOI","","","Mirrorbelly","","","","Zugmayer 1911"
"OOL","","","Barrel-eye","","","","Vaillant 1888"
"PHT","سمك-ورق طارْدُور","后鳍鱼","Tardoore","Poisson-papier tar","","Arenquillo tardore","(Cuvier 1829)"
"OIU","","","Yellowhead jawfish","","","","(Jordan & Thompson 1905)"
"OLF","","","","","","","(Krøyer 1845)"
"OOD","","","Hole goby","","","","(Schultz 1943)"
"OUC","","","","","","","(Bleeker 1852)"
"OPN","","","","","","","(Günther 1878)"
"BOU","","","Gulf toadfish","","","","(Goode & Bean 1880)"
"GOC","","","","","","","Briggs 1957"
"OOG","","","Shrimp eel","","","","(Castelnau 1855)"
"OOH","","","Punctuated snake-e","Serpenton pointill","","Tieso punteado","(Valenciennes 1837)"
"TAY","","","","","","","(Tåning 1928)"
"YNB","","","","","","","Kaup 1858"
"YNC","","","Commerson's sole","Sole de Commerson","","Lenguado de Commer","(Lacépède 1802)"
"YNU","","","Portuguese sole","","","","Capello 1868"
"YNG","","","White-margined sol","","","","Boulenger 1900"
"SXR","","","Marbled swamp eel","","","","Bloch 1795"
"SKS","","","Spotfin dragonet","","","","(Goode & Bean 1888)"
"SZG","","","Manacled sculpin","","","","Bean 1890"
"SKY","","","Kimberley grunter","","","","Vari 1978"
"SGJ","","","Alligator pipefish","","","","(Bloch 1785)"
"SHQ","","","","","","","Risso 1827"
"SGQ","","","Greater pipefish","","","","Linnaeus 1758"
"SGP","","","","","","","Risso 1827"
"SFR","","","Nilsson's pipefish","","","","Nilsson 1855"
"SSJ","","","","","","","Popov 1927"
"SUZ","","","","","","","Canestrini 1871"
"STX","","","","","","","Rathke 1837"
"STQ","","","Broadnosed pipefis","","","","Linnaeus 1758"
"SVR","","","","","","","Pallas 1814"
"YDA","","","Bigeye squeaker","","","","Schilthuis 1891"
"YDN","","","Angel squeaker","","","","Schilthuis 1891"
"YDC","","","Bugeye squeaker","","","","Vinciguerra 1928"
"YFP","","","Blackcheek tonguef","","","","(Linnaeus 1766)"
"YFS","","","Duskycheek tonguef","","","","(Bloch & Schneider 1801)"
"YFK","","","Blackbelly tongues","","","","Gilbert 1905"
"YFJ","","","","","","","(Quoy & Gaimard 1824)"
"YMY","","","Slope bass","","","","Anderson 1970"
"YMQ","","","Blue discus","","","","Pellegrin 1904"
"SJL","","","","","","","Eschmeyer & Rama-Rao 1973"
"SSK","","","Kaup's arrowtooth ","","","","Johnson 1862"
"YFE","","","","","","","(Bleeker 1879)"
"LSC","","","Tube-eye","","","","Shaw 1791"
"SDG","","","Stumptooth minnow","","","","Garman 1881"
"SIY","","","","","","","Rafinesque 1810"
"UVL","","","","","","","Winterbottom & Hoese 1988"
"SZQ","","","Rainbow slender wr","","","","Russell 1985"
"UFA","","","Bluethroat trigger","","","","(Rüppell 1829)"
"UFC","","","Halfmoon triggerfi","","","","(Bloch & Schneider 1801)"
"UFB","","","","","","","(von Bonde 1923)"
"SBV","","","","","","","Shao & Chen 1987"
"UYV","","","Purplemask angelfi","","","","(Yasuda & Tominaga 1969)"
"SUX","","","","","","","Siebert & Crimmen 1997"
"SUI","","","","","","","Kottelat 1990"
"EAA","أنشوفة فِضِّيَّة","黎氏小鳀","Regan's anchovy","Anchois argenté","","Anchoa plata","(Regan 1904)"
"EAC","","","Bermuda anchovy","","","","(Goode 1874)"
"EAO","أنشوفة مُسَطَّحة","高体小鳀","Deep body anchovy","Anchois plat","","Anchoa chata","(Girard 1858)"
"EAU","","","Cuban anchovy","Anchois cubain","","Anchoa cubana","(Poey 1868)"
"EAR","أنشوفة قصيرة","突吻小鳀","Short anchovy","Anchois court","","Anchoa pelada","(Jordan & Gilbert 1882)"
"PNY","","","Southern ninespine","","","","(Kessler 1859)"
"GPT","","","Ninespine stickleb","","","","(Linnaeus 1758)"
"PGH","","","","","","","Herzenstein 1892"
"UNM","","","","","","","(Trewavas 1962)"
"PUQ","","","","","","","(Bleeker 1851)"
"PUH","","","","","","","(Valenciennes 1842)"
"PUU","","","Arulius barb","","","","(Jerdon 1849)"
"PUI","","","Spotted barb","","","","(Valenciennes 1842)"
"PUO","","","Rosy barb","","","","(Hamilton 1822)"
"PUM","","","Blackspot barb","","","","(Valenciennes 1844)"
"PUJ","","","Jerdon's carp","","","","(Day 1870)"
"PUD","","","","","","","(Valenciennes 1842)"
"PUS","","","","","Барбус краснощекий","","(Hamilton 1822)"
"PUR","","","Pool barb","","","","(Hamilton 1822)"
"PUT","","","Sumatra barb","","","","(Bleeker 1855)"
"PUW","","","Ticto barb","","","","(Hamilton 1822)"
"PZG","","","","","","","Fedorov 1982"
