"FIGIS_ID","ISCAAP_ID","NAME_en","NAME_fr","NAME_es","NAME_ar","NAME_cn","NAME_ru","Unit","Scientific.Name","Alpha3.Code","FAOMAP_LAYER_ID","Author"
"3269","17506XXXXX","Hairtails, scabbardfishes nei","Poissons-sabres, sabres nca","Peces sable, cintos nep","","","","t","Trichiuridae","CUT","",""
"16715","2280203106","Purplehead gamba prawn","Crevette pourprée","Gamba purpurea","","","","t","Aristeus antillensis","ANJ","","A. Milne Edwards & Bouvier 1909"
"16690","2250100501","Smalleyed squillid mantis shri","","","","","","t","Miyakea nepa","MJN","","(Latreille 1828)"
"16691","2294400101","","","","","","","t","Stereomastis sculpta","SJT","","Bouvier 1917"
"16692","2280101625","Spiny greasyback shrimp","","","","","","t","Metapenaeus anchistus","MAQ","","(De Man 1920)"
"16693","2280100142","False white prawn","","","","","","t","Penaeus silasi","ESS","","Muthu & Motoh 1979"
"16694","2280106219","Velvet shrimp","","","","","","t","Metapenaeopsis wellsi","MWL","","Racek 1967"
"16695","2280101626","Sulu shrimp","","","","","","t","Metapenaeus suluensis","MSW","","Racek & Dall 1965"
"16696","2280101916","Thin shrimp","","","","","","t","Parapenaeopsis gracillima","NIG","","Nobili 1903"
"16697","2280104905","Four-spined needle shrimp","","","","","","t","Penaeopsis eduardoi","NIE","","Perez Farfante 1977"
"16698","2280104314","Longlegged rough shrimp","","","","","","t","Trachypenaeus longipes","TLJ","","(Paulson 1875)"
"16699","2282907212","Razor mud shrimp","","","","","","t","Solenocera melantho","SQH","","De Man 1907"
"16700","2282907213","Deep-water mud shrimp","","","","","","t","Solenocera alfonso","SAZ","","Perez Farfante 1981"
"16701","2282907214","High ridge mud shrimp","","","","","","t","Solenocera alticarinata","SJR","","Kubo 1949"
"16675","2010100128","","","","","","","t","Daphnia longispina","DNO","","O.F. Müller 1776"
"16676","2010100129","","","","","","","t","Daphnia galeata","DNG","","Sars 1885"
"16677","2020200102","","","","","","","t","Artemia franciscana","FRJ","","Kellogg 1908"
"16678","20202XXXXX","","","","","","","t","Artemiidae","AJI","",""
"16679","2020200103","","","","","","","t","Artemia persimilis","AJE","","Piccinelli & Prosdocimi 1968"
"16680","2020200104","","","","","","","t","Artemia urmiana","AJU","","Günther 1900"
"16681","2020200105","","","","","","","t","Artemia sinica","AJJ","","Cai 1989"
"16682","2020200106","","","","","","","t","Artemia tunisiana","AJT","","Bowen & Sterling 1978"
"16684","21302XXXXX","Lepadidae barnacles nei","Anatifes Lepadidae nca","Percebes Lepadidae nep","","","","t","Lepadidae","LKD","",""
"16685","21301XXXXX","Scalpellidae barnacles nei","Pouce-pieds Scalpellidae nca","Percebes Scalpellidae nep","","","","t","Scalpellidae","SDK","",""
"17736","3071700201","Hebrew moon-shell","Natice marbrée","Caracol de luna","قوقعة قمر رُخاميَّة","汉博尔拟玉螺","","t","Naticarius hebraeus","NKH","","(Martyn 1784)"
"17574","3161102503","Pismo clam","Tivel de Pismo","Tivela de Pismo","تِفال بِيسمو","墨西哥帘蛤","","t","Tivela stultorum","TVT","","(Mawe 1823)"
"17575","3161102504","Ventricose tivela","","","","","","t","Tivela ventricosa","TVV","","(Gray 1838)"
"17576","3161100302","Golden carpet shell","Palourde jaune","Almeja dorada","قَفَّألة ذهبية","金毯蛤仔","","t","Venerupis aurea","VNA","","(Gmelin 1791)"
"17577","3161100303","Banded carpet shell","Palourde rose","Almeja rubia","قفالة وردية","条带蛤仔","","t","Venerupis rhomboides","VNR","","(Pennant 1777)"
"17578","3161102601","Heart venus","","","","","","t","Ventricolaria isocardia","VNI","","(Verrill 1870)"
"17579","3161102602","Rigid venus","","","","","","t","Ventricolaria rigida","VNG","","(Dillwyn 1817)"
"17580","3161102701","Warty venus","Praire commune","Escupina grabada","محارة شاطئية شائعة","疣帘蛤","","t","Venus verrucosa","VEV","","Linnaeus 1758"
"17581","3162500103","Janus tree oyster","Ostrege janus","Concha hojarascas canela","محارة شجرة جانوس","捷纳斯蚶蛤","","t","Isognomon janus","IOJ","","Carpenter 1857"
"17582","3163600301","Pacific coast angel wing","Aile d'ange du Pacifique","Ala de ángel comes","جناح مَلَك المحيط الهادئ","智利海笋","","t","Pholas chiloensis","FLK","","Molina 1782"
"17583","3163700103","Maura pen shell","Jambonneau lampe","Pina lampa","قوقعة ريشة لَمبة","马拉无裂江珧","","t","Atrina maura","TQM","","(Sowerby 1835)"
"3450","2290100206","Red rock lobster","","Langosta roja","","","","t","Jasus edwardsii","LOR","","(Hutton 1875)"
"3451","22901008XX","Palinurid spiny lobsters nei","Langoustes Palinurus nca","Langostas Palinurus nep","","","Лангусты глубоководные","t","Palinurus spp","CRW","",""
"3452","2290100804","Common spiny lobster","Langouste rouge","Langosta común","","","","t","Palinurus elephas","SLO","","(Fabricius 1787)"
"3453","2290100806","Southern spiny lobster","Langouste du Sud","Langosta del Sur","جراد البحر جنوبي","南非真龙虾","","t","Palinurus gilchristi","SLS","","Stebbing 1900"
"3393","2260100501","Antarctic krill","Krill antarctique","Krill antártico","","南极大磷虾","Криль антарктический","t","Euphausia superba","KRI","3393","Dana 1852"
"17178","3162301004","American yellow cockle","Bucarde jaune","Berberecho amarillo","","","","t","Trachycardium muricatum","TIX","","(Linnaeus 1758)"
"17170","3162300701","Folded lagoon cockle","Coque de lagune plissée","Berberecho de laguna","سمسمك البحيرة مُتَمَوِّج","泻湖褶乌贼","","t","Hypanis plicatus","YNK","","(Eichwald 1829)"
"17172","3162300802","Giant Pacific egg cockle","Bucarde lisse géante","Berberecho gigante","أبوصير عظيم صقّال","大鸟蛤","","t","Laevicardium elatum","LVL","","(Sowerby 1833)"
"17173","3162300803","Oblong egg cockle","Coque lisse sillonnée","Berberecho liso","سمسمك صقّالة مُشَقَّقَة","长形鸟蛤","","t","Laevicardium oblongum","LVO","","(Gmelin 1791)"
"17175","3162301001","Consors' cockle","Bucarde consort","Berberecho consorte","أبوصير رفيق                               ","伴侣鸟尾蛤","","t","Trachycardium consors","TKQ","","(Sowerby 1833)"
"17176","3162301002","American prickly cockle","","","","","","t","Trachycardium egmontianum","TDX","","(Shuttleworth 1856)"
"17177","3162301003","Even cockle","Bucarde régulière","Berberecho guacuco","","","","t","Trachycardium isocardia","TIQ","","(Linnaeus 1758)"
"3185","1703906303","Steentjie seabream","Dorade australe","Chopa austral","مرجان أُسترالي","绒牙锥鲷","","t","Spondyliosoma emarginatum","STJ","","(Valenciennes 1830)"
"3186","1703910201","Sheepshead","Rondeau mouton","Sargo chopa","","","","t","Archosargus probatocephalus","SPH","","(Walbaum 1792)"
"3187","1703910701","Carpenter seabream","Denté charpentier","Dentón carpintero","","","","t","Argyrozona argyrozona","SLF","","(Valenciennes 1830)"
"3176","1703903302","Annular seabream","Sparaillon commun","Raspallón","","","","t","Diplodus annularis","ANN","","(Linnaeus 1758)"
"3177","1703903305","Common two-banded seabream","Sar à tête noire","Sargo mojarra","","","","t","Diplodus vulgaris","CTB","","(Geoffroy St. Hilaire 1817)"
"3178","1703903307","Sharpsnout seabream","Sar à museau pointu","Sargo picudo","","","","t","Diplodus puntazzo","SHR","","(Cetti 1777)"
"3179","1703903308","Spottail seabream","Sar cotonnier","Sargo cotonero","أُسبور قُطني","霍氏重牙鲷","","t","Diplodus holbrooki","DIH","","(Bean 1878)"
"17159","3162300601","Japanese cockle","","","","","","t","Fulvia mutica","FVM","","(Reeve 1844)"
"17160","3160200101","Mexican jewel box","Chame mexicaine","Concha joyero mexicana","حُقَّة حلية مَكْسيكِيَّة","巴拿马猿头蛤","","t","Chama buddiana","KMB","","C.B. Adams 1852"
"17161","3162100101","Violet batissa","Cyrène violette","","","","","t","Batissa violacea","BVL","","(Lamarck 1806)"
"17162","3162100201","Equilateral marsh clam","Cyrène équilatérale","Guacuco de marjal","","","","t","Polymesoda aequilatera","YMA","","(Deshayes 1855)"
"17163","3162100202","Carolina marsh clam","","","","","","t","Polymesoda caroliniana","YMR","","(Bosc 1801)"
"17164","3162100203","Common geloina","Cyrène érodée","","","","","t","Polymesoda erosa","YME","","(Lightfoot 1786)"
"17165","3162100204","Broad geloina","Cyrène large","","","","","t","Polymesoda expansa","YMX","","(Mousson 1849)"
"17166","3162100205","Triangular mash clam","","","","","","t","Polymesoda triangula","YMT","","(Philippi 1849)"
"17167","3162100301","Common Indian marsh clam","","","","","","t","Villorita cyprinoides","VIY","","(Gray 1825)"
"2796","10608XXXXX","Mackerel sharks,porbeagles nei","Requins taupe nca","Jaquetones,marrajos nep","","","","t","Lamnidae","MSK","",""
"2797","1060800203","Longfin mako","Petite taupe","Marrajo carite","","","","t","Isurus paucus","LMA","2797","Guitart Manday 1966"
"2798","1060800301","Porbeagle","Requin-taupe commun","Marrajo sardinero","قصف ، لياء، بًنبًك","鼠鲨","Акула сельдевая (=акула атлантическая)","t","Lamna nasus","POR","2798","(Bonnaterre 1788)"
"18865","1703756105","Donkey croaker","Courbine grise","Corvina plomiza","شُفشُف كبير العينين أو نحيف رمادي","灰鳍彭纳石首鱼","","t","Pennahia anea","NHK","","(Bloch 1773)"
"2799","1060800701","Great white shark","Grand requin blanc","Jaquetón blanco","","","","t","Carcharodon carcharias","WSH","2799","(Linnaeus 1758)"
"2800","10703009XX","Nurse sharks nei","Requins-nourrices nca","Gatas nodrizas nep","","","","t","Ginglymostoma spp","GNG","",""
"2801","1070500401","Whale shark","Requin baleine","Tiburón ballena","","","","t","Rhincodon typus","RHN","2801","Smith 1828"
"2802","10801XXXXX","Catsharks, etc. nei","Chiens,holbiches,rousset. nca","Alitanes,pejegatos,pintar. nep","","","","t","Scyliorhinidae","SYX","",""
"2803","1080100104","Blackmouth catshark","Chien espagnol","Pintarroja bocanegra","","","","t","Galeus melastomus","SHO","","Rafinesque 1810"
"2804","10801003XX","Catsharks, nursehounds nei","Roussettes nca","Alitanes, pintarrojas nep","","","","t","Scyliorhinus spp","SCL","",""
"2805","1080100302","Nursehound","Grande roussette","Alitán","","","","t","Scyliorhinus stellaris","SYT","","(Linnaeus 1758)"
"2806","10802XXXXX","Requiem sharks nei","Requins nca","Cazones picudos,tintoreras nep","","","","t","Carcharhinidae","RSK","",""
"2807","1080201001","Sandbar shark","Requin gris","Tiburón trozo","","","","t","Carcharhinus plumbeus","CCP","","(Nardo 1827)"
"19034","17094010XX","","","","","","","t","Pagetopsis spp","PZK","",""
"19035","1782301310","","","","","","","t","Paraliparis devriesi","PVO","","Andriashev 1980"
"19036","1708800108","","","","","","","t","Pogonophryne macropogon","YJP","","Eakin 1981"
"19037","17032217XX","Jobfishes nei","Colas nca","Panchito nep","","","","t","Pristipomoides spp","LWX","",""
"19038","1400514501","Clown loach","","","","","","t","Chromobotia macracanthus","BMW","","(Bleeker 1852)"
